message_id,date_utc,book_title,author,confidence,reasons,source_text
-1,,Полдень XXII век,Б. Стругацких,1.0,alpha; capitalized; context:роман; context:написана; context:книга; quotes; context:роман; context:написана; context:книга,"7 ноября многие писатели-фантасты отметили дату наступления видения из романа А. и Б. Стругацких ""Полдень XXII век"". Книга написана в 1961 году, и там есть строки про наше время и даже наш 2017 год: ""Выполняя международную программу исследований глубокого космического пространства и возможностей меж"
-1,,Полдень XXII век,Стругацких,1.0,alpha; capitalized; context:роман; context:написана; context:книга; quotes; context:роман; context:написана; context:книга,"7 ноября многие писатели-фантасты отметили дату наступления видения из романа А. и Б. Стругацких ""Полдень XXII век"". Книга написана в 1961 году, и там есть строки про наше время и даже наш 2017 год: ""Выполняя международную программу исследований глубокого космического пространства и возможностей меж"
-1,,Полдень XXII век,Ницше,1.0,alpha; capitalized; context:роман; context:написана; context:книга; quotes; context:роман,"7 ноября многие писатели-фантасты отметили дату наступления видения из романа А. и Б. Стругацких ""Полдень XXII век"". Книга написана в 1961 году, и там есть строки про наше время и даже наш 2017 год: ""Выполняя международную программу исследований глубокого космического пространства и возможностей меж"
-1,,Так говорил Заратустра,Б. Стругацких,1.0,alpha; capitalized; context:роман; quotes; context:роман; context:написана; context:книга,"7 ноября многие писатели-фантасты отметили дату наступления видения из романа А. и Б. Стругацких ""Полдень XXII век"". Книга написана в 1961 году, и там есть строки про наше время и даже наш 2017 год: ""Выполняя международную программу исследований глубокого космического пространства и возможностей меж"
-1,,Так говорил Заратустра,Стругацких,1.0,alpha; capitalized; context:роман; quotes; context:роман; context:написана; context:книга,"7 ноября многие писатели-фантасты отметили дату наступления видения из романа А. и Б. Стругацких ""Полдень XXII век"". Книга написана в 1961 году, и там есть строки про наше время и даже наш 2017 год: ""Выполняя международную программу исследований глубокого космического пространства и возможностей меж"
-1,,Так говорил Заратустра,Ницше,1.0,alpha; capitalized; context:роман; quotes; context:роман,"7 ноября многие писатели-фантасты отметили дату наступления видения из романа А. и Б. Стругацких ""Полдень XXII век"". Книга написана в 1961 году, и там есть строки про наше время и даже наш 2017 год: ""Выполняя международную программу исследований глубокого космического пространства и возможностей меж"
-1,,большого полудня,Б. Стругацких,1.0,alpha; context:роман; quotes; context:роман; context:написана; context:книга,"7 ноября многие писатели-фантасты отметили дату наступления видения из романа А. и Б. Стругацких ""Полдень XXII век"". Книга написана в 1961 году, и там есть строки про наше время и даже наш 2017 год: ""Выполняя международную программу исследований глубокого космического пространства и возможностей меж"
-1,,большого полудня,Стругацких,1.0,alpha; context:роман; quotes; context:роман; context:написана; context:книга,"7 ноября многие писатели-фантасты отметили дату наступления видения из романа А. и Б. Стругацких ""Полдень XXII век"". Книга написана в 1961 году, и там есть строки про наше время и даже наш 2017 год: ""Выполняя международную программу исследований глубокого космического пространства и возможностей меж"
-1,,большого полудня,Ницше,1.0,alpha; context:роман; quotes; context:роман,"7 ноября многие писатели-фантасты отметили дату наступления видения из романа А. и Б. Стругацких ""Полдень XXII век"". Книга написана в 1961 году, и там есть строки про наше время и даже наш 2017 год: ""Выполняя международную программу исследований глубокого космического пространства и возможностей меж"
-1,,Ленин и дети,И.З.Лин,1.0,alpha; capitalized; context:книги; quotes; context:книги,"Из книги ""Ленин и дети"", И.З.Лин, изд.""Молодая гвардия"", 1925 год"
